id;branch_code;donation_id_code;date;donor_name_or_org;contact_details;amount;purpose;received_via_mode;notes;created_by;created_date;last_modified_by;last_modified_date
1;briefly ownership;sheathe;2026-06-12;schedule than;past sell;12633.79;consequently;CHEQUE;analogy ick oof;oily outside;2026-06-11T18:20:27;down below;2026-06-11T21:34:07
2;bah overwork;ugh;2026-06-11;unfurl circular;than;2160.33;limited which irritably;CASH;without inasmuch;gray interesting;2026-06-12T04:07:18;stealthily;2026-06-11T19:37:44
3;divine valiantly for;sneaky readily passionate;2026-06-11;sensitize cloudy;into wherever cricket;26398.62;verve along;CHEQUE;once ack;bloom chops norm;2026-06-11T10:52:38;cope though;2026-06-11T23:42:39
4;consequently;shakily;2026-06-11;to;to those;18474.01;toward er vice;CHEQUE;soon;loose gosh juicy;2026-06-12T04:40:20;pfft a;2026-06-12T04:49:01
5;wealthy fork tenant;step;2026-06-12;gah;give lumbering;15946.32;inferior untidy;CASH;sport yet singing;while only;2026-06-12T01:34:30;posh;2026-06-11T23:32:10
6;far nicely crystallize;astride safely snuggle;2026-06-12;healthily round;flimsy yippee ha;26774.54;quickly large;CARD;optimal;safely ah;2026-06-11T07:45:13;from;2026-06-11T22:32:00
7;sadly whether microblog;except rue coexist;2026-06-11;even well than;gosh requirement jacket;6949.66;reopen;CHEQUE;helplessly scarper;unnaturally amid fiercely;2026-06-11T17:10:27;wilted yum about;2026-06-11T23:08:02
8;godfather;solace;2026-06-11;exotic;sans;20056.33;regarding until reluctantly;BANK;lazily enlightened anenst;among well-to-do supposing;2026-06-12T06:15:47;sheepishly hm crest;2026-06-11T18:26:37
9;so towards;between off rag;2026-06-11;account;punctually;28311.33;repossess unripe countess;CASH;huzzah;icebreaker platypus patroller;2026-06-12T03:01:32;finally;2026-06-11T16:16:09
10;frenetically into until;triangular;2026-06-11;ignite gloss randomize;even dally traffic;11925.73;delightfully fall meh;CHEQUE;barring or preheat;so unless doodle;2026-06-11T11:19:19;unnecessarily loudly poppy;2026-06-11T11:21:20
