id;staff_code;branch_code;full_name;position;staff_type;contact_number;hourly_rate_or_monthly_salary;is_active;created_by;created_date;last_modified_by;last_modified_date
1;with ick;thorn scared;repurpose so;stylish athwart suspiciously;FULL_TIME;stylish reference;30225.52;true;mixed;2026-06-12T05:52:05;boohoo;2026-06-11T23:46:54
2;eek;supposing bug;whether whoa till;upon;PART_TIME;hmph about wrongly;6729.91;false;yum hutch;2026-06-11T17:41:48;serpentine excepting;2026-06-11T19:44:26
3;astride cheerful interestingly;oh;pinstripe agreement;where nervous cosset;CASUAL_WORKER;off;25254.41;false;openly why navigate;2026-06-11T12:38:52;upbeat dishearten;2026-06-11T20:31:12
4;fraternise;yet hard-to-find;agreeable;yuck soap;FULL_TIME;yuck;15632.34;true;phew;2026-06-11T15:43:42;bell;2026-06-11T18:12:34
5;rosy uncomfortable boo;motivate settle among;cute slimy;ouch oh;FULL_TIME;mid;27094.17;false;hmph gust ferociously;2026-06-11T09:53:38;inasmuch kissingly slow;2026-06-11T12:56:27
6;before thoughtfully;passport upward;stump;annual;VOLUNTEER;reorganisation;27260.97;false;however though unnecessarily;2026-06-12T00:38:49;across sneak;2026-06-11T14:41:54
7;fantastic;disapprove yippee though;schnitzel unto yet;how;PASTORAL;closed;14457.54;false;honorable austere;2026-06-11T07:07:08;chime if;2026-06-11T18:39:20
8;stay flimsy scuffle;sociable;before secularize boohoo;bemuse stratify near;CASUAL_WORKER;under;18078.05;false;as;2026-06-11T20:31:26;ah soft;2026-06-11T11:41:15
9;astride between;amidst dislocate;gladly liquid;frail;PART_TIME;jealously hidden gallivant;3491.83;true;pace electronics;2026-06-11T22:15:14;times;2026-06-11T20:47:23
10;bah vivaciously;armoire;fundraising;what;PART_TIME;nectarine;18264.79;false;plus babyish;2026-06-11T11:11:27;sans shadowbox uh-huh;2026-06-11T20:48:25
