id;branch_code;salary_payout_code;staff_code;pay_period;base_salary;allowances;deductions;net_pay;payout_date;created_by;created_date;last_modified_by;last_modified_date
1;recount;cellar;everlasting oh lawful;earth so;22035.24;5196.85;7180.78;13449.05;2026-06-12;tough excluding;2026-06-12T05:00:02;digit because;2026-06-12T04:53:13
2;the er whether;even indeed;uh-huh among;gentle regarding;21430.97;27193.36;1800.83;422.08;2026-06-12;but indolent;2026-06-12T05:13:53;consistency accompanist;2026-06-11T23:47:30
3;hot;hospitalization above negotiation;pasta definitive;save;29838.29;25658.46;32668.26;206.83;2026-06-12;yahoo;2026-06-11T19:25:05;nicely lumbering;2026-06-11T08:36:52
4;doubtfully boohoo;ramp chow;fiercely furthermore minor;eek trim scratchy;2764.33;12681.34;32462.67;31208.86;2026-06-11;sardonic;2026-06-11T08:11:32;kooky yuck;2026-06-11T20:08:58
5;brush growing;behind joyfully yieldingly;jump;scotch;32710.81;23653.26;13180.01;16240.79;2026-06-11;if ew;2026-06-12T06:51:58;alb;2026-06-12T03:46:39
6;crystallize;whether circumference pry;coal;lone;10944.56;1818.05;29145.92;25730.79;2026-06-11;aw;2026-06-12T06:20:09;likewise unless worth;2026-06-12T00:50:07
7;atop yawningly yahoo;fold;subtract wherever sarong;pish;6417.96;21193.88;31860.58;30047.89;2026-06-12;whoever fooey punctually;2026-06-12T06:53:01;broadcast sympathetically;2026-06-12T03:18:22
8;closely;than exterior;about unless consequently;underneath except;22393.01;16867.26;30935.12;14964.93;2026-06-12;weighty categorise axe;2026-06-12T05:29:54;consequently;2026-06-11T13:30:05
9;owlishly during;celsius;which;swim mortise;1942.45;3676.05;24923.01;28240.53;2026-06-11;boo neck;2026-06-11T19:08:27;mid integer bootleg;2026-06-12T03:07:24
10;athwart wherever;secularize;rudely yum;stall cleave;14732.97;16749.32;23183.48;22980.16;2026-06-11;via up besmirch;2026-06-11T19:21:56;with;2026-06-11T16:33:52
